sequence,level,property_type,identifier,module,class_term,property_term,association_role,representation_term,associated_module,associated_class,multiplicity,definition,label_local,definition_local
1,1,Abstract Class,,bus,Phone,,,,,,0..*,Phone number information.,【電話番号】,主要電話番号情報。
2,2,Attribute,PK,bus,Phone,Phone Number,,String,,,0..1,Phone number referred to in Phone Number Description'\.,電話番号,電話番号用途で示される電話番号。
3,2,Attribute,,bus,Phone,Phone Number Description,,String,,,0..1,"Entity Phone Number Description such as Main, Investor relations. Enumerated as: bookkeeper, controller, direct, fax, investor-relations, main, switchboard, other.",電話番号用途,"代表、IR用などの、電話番号の用途。
[設定値のリスト]
(bookkeeper：記帳係)、(controller：会計責任者)、(direct：直通)、(fax：FAX)、(investor-relations：IR窓口)、(main：代表)、(switchboard：交換台)、(other：その他)"
4,1,Class,,bus,Party_ Phone,,,,,,0..*,Primary phone number of the entity.,【事業体電話番号】,事業体の主要電話番号情報。
5,2,Specialization,,bus,Party_ Phone,,,,bus,Phone,1,Phone number information.,【電話番号】,主要電話番号情報。
6,1,Class,,bus,Entity_ Party_ Phone,,,,,,0..*,Primary phone number of the entity.,【事業体電話番号】,事業体の主要電話番号情報。
7,2,Specialization,,bus,Entity_ Party_ Phone,,,,bus,Phone,1,Phone number information.,【電話番号】,主要電話番号情報。
8,1,Class,,bus,Contact_ Phone,,,,,,0..*,Contact Phone Number,【担当者電話番号】,担当者の電話番号。
9,2,Specialization,,bus,Contact_ Phone,,,,bus,Phone,1,Phone number information.,【電話番号】,主要電話番号情報。
10,1,Class,,bus,Accountant_ Contact_ Phone,,,,,,0..*,Phone Number for Accountant Contact,【会計事務所担当者電話番号】,会計事務所の担当者の電話番号
11,2,Specialization,,bus,Accountant_ Contact_ Phone,,,,bus,Contact_ Phone,1,Phone number information.,【電話番号】,主要電話番号情報。
12,1,Class,,bus,Entity_ Party_ Contact_ Phone,,,,,,0..*,Contact Phone Number,【担当者電話番号】,担当者の電話番号。
13,2,Specialization,,bus,Entity_ Party_ Contact_ Phone,,,,bus,Contact_ Phone,1,Phone number information.,【電話番号】,主要電話番号情報。
14,1,Class,,cor,Identifier_ Phone,,,,,,0..*,Phone number related to Identifier.,【CVE電話番号】,CVE識別子の電話番号。
15,2,Specialization,,cor,Identifier_ Phone,,,,bus,Phone,1,Phone number information.,【電話番号】,主要電話番号情報。
16,1,Class,,cor,Identifier_ Contact_ Phone,,,,,,0..*,Phone Number,【CVE担当者電話番号】,電話番号
17,2,Specialization,,cor,Identifier_ Contact_ Phone,,,,bus,Contact_ Phone,1,Phone number information.,【電話番号】,主要電話番号情報。
18,1,Abstract Class,,bus,Fax,,,,,,0..*,Fax number information.,【FAX番号】,FAX番号情報。
19,2,Attribute,PK,bus,Fax,Fax Number,,String,,,0..1,Fax Number,FAX番号,FAX番号。
20,2,Attribute,,bus,Fax,Fax Number Usage,,String,,,0..1,"Fax number usage (e.g. orders, head office, IR)",FAX番号用途,FAX番号の用途。(注文、本社、IRなど)
21,1,Class,,bus,Party_ Fax,,,,,,0..*,Class for holding company fax information.,【事業体FAX番号】,事業体のFAX番号情報のタプル。
22,2,Specialization,,bus,Party_ Fax,,,,bus,Fax,1,Fax number information.,【FAX番号】,FAX番号情報。
23,1,Class,,bus,Entity_ Party_ Fax,,,,,,0..*,Class for holding company fax information.,【事業体FAX番号】,事業体のFAX番号情報のタプル。
24,2,Specialization,,bus,Entity_ Party_ Fax,,,,bus,Fax,1,Fax number information.,【FAX番号】,FAX番号情報。
25,1,Class,,bus,Contact_ Fax,,,,,,0..*,Contact Fax Number Class,【担当者FAX番号】,担当者のFAX番号の構造体。
26,2,Specialization,,bus,Contact_ Fax,,,,bus,Fax,1,Fax number information.,【FAX番号】,FAX番号情報。
27,1,Class,,bus,Accountant_ Contact_ Fax,,,,,,0..*,Accountant Contact Fax Number Class,【会計事務所担当者FAX番号】,会計事務所の担当者のFAX番号の構造体。
28,2,Specialization,,bus,Accountant_ Contact_ Fax,,,,bus,Contact_ Fax,1,Fax number information.,【FAX番号】,FAX番号情報。
29,1,Class,,bus,Entity_ Party_ Contact_ Fax,,,,,,0..*,Contact Fax Number Class,【担当者FAX番号】,担当者のFAX番号の構造体。
30,2,Specialization,,bus,Entity_ Party_ Contact_ Fax,,,,bus,Contact_ Fax,1,Fax number information.,【FAX番号】,FAX番号情報。
